
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.789
  alpha =    3.057    CLtot =    0.492
  beta  =    0.000

  Sref  =   283.98700
  Bref  =    44.84000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.243583         0.531511E-01
    0.0333  0.233576         0.491748E-01
    0.1000  0.213560         0.417225E-01
    0.1667  0.193613         0.349363E-01
    0.2333  0.173877         0.288115E-01
    0.3000  0.154491         0.233387E-01
    0.3667  0.135590         0.185040E-01
    0.4375  0.116139         0.140463E-01
    0.5125  0.962812E-01     0.100634E-01
    0.5875  0.772424E-01     0.680985E-02
    0.6625  0.591685E-01     0.425215E-02
    0.7375  0.422470E-01     0.235061E-02
    0.8125  0.267445E-01     0.105702E-02
    0.8875  0.131079E-01     0.309784E-03
    0.9625  0.227595E-02     0.213371E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.243583        -0.531511E-01
   -0.0333  0.233576        -0.491748E-01
   -0.1000  0.213560        -0.417225E-01
   -0.1667  0.193613        -0.349363E-01
   -0.2333  0.173877        -0.288115E-01
   -0.3000  0.154491        -0.233387E-01
   -0.3667  0.135590        -0.185040E-01
   -0.4375  0.116139        -0.140463E-01
   -0.5125  0.962812E-01    -0.100634E-01
   -0.5875  0.772424E-01    -0.680985E-02
   -0.6625  0.591685E-01    -0.425215E-02
   -0.7375  0.422470E-01    -0.235061E-02
   -0.8125  0.267445E-01    -0.105702E-02
   -0.8875  0.131079E-01    -0.309784E-03
   -0.9625  0.227595E-02    -0.213371E-04
   -1.0000   0.00000          0.00000    
